Running Reward,Frame Count
275,2610000
271,2620000
274,2630000
274,2640000
277,2650000
280,2660000
285,2670000
289,2680000
281,2690000
277,2700000
277,2710000
275,2720000
285,2730000
282,2740000
273,2750000
283,2760000
288,2770000
295,2780000
308,2790000
295,2800000
305,2810000
308,2820000
315,2830000
310,2840000
296,2850000
309,2860000
289,2870000
306,2880000
313,2890000
304,2900000
323,2910000
328,2920000
330,2930000
332,2940000
331,2950000
322,2960000
324,2970000
319,2980000
303,2990000
295,3000000
292,3010000
292,3020000
291,3030000
299,3040000
308,3050000
315,3060000
322,3070000
332,3080000
339,3090000
333,3100000
329,3110000
316,3120000
319,3130000
313,3140000
302,3150000
308,3160000
311,3170000
317,3180000
322,3190000
328,3200000
329,3210000
332,3220000
332,3230000
330,3240000
327,3250000
337,3260000
338,3270000
347,3280000
356,3290000
352,3300000
353,3310000
356,3320000
342,3330000
347,3340000
342,3350000
343,3360000
346,3370000
352,3380000
349,3390000
352,3400000
344,3410000
349,3420000
339,3430000
346,3440000
339,3450000
343,3460000
337,3470000
335,3480000
336,3490000
342,3500000
332,3510000
329,3520000
332,3530000
337,3540000
341,3550000
338,3560000
329,3570000
341,3580000
342,3590000
338,3600000
337,3610000
348,3620000
361,3630000
374,3640000
364,3650000
356,3660000
358,3670000
359,3680000
346,3690000
340,3700000
334,3710000
332,3720000
333,3730000
341,3740000
338,3750000
334,3760000
339,3770000
333,3780000
351,3790000
352,3800000
340,3810000
346,3820000
348,3830000
339,3840000
332,3850000
337,3860000
342,3870000
349,3880000
349,3890000
336,3900000
347,3910000
346,3920000
345,3930000
337,3940000
332,3950000
339,3960000
350,3970000
348,3980000
351,3990000
348,4000000
354,4010000
360,4020000
347,4030000
343,4040000
337,4050000
333,4060000
331,4070000
320,4080000
322,4090000
338,4100000
336,4110000
344,4120000
333,4130000
333,4140000
336,4150000
321,4160000
317,4170000
322,4180000
317,4190000
334,4200000
339,4210000
334,4220000
344,4230000
359,4240000
354,4250000
358,4260000
339,4270000
321,4280000
326,4290000
327,4300000
312,4310000
320,4320000
313,4330000
322,4340000
333,4350000
343,4360000
340,4370000
337,4380000
332,4390000
334,4400000
334,4410000
341,4420000
326,4430000
317,4440000
317,4450000
318,4460000
326,4470000
328,4480000
323,4490000
326,4500000
334,4510000
339,4520000
350,4530000
349,4540000
343,4550000
339,4560000
334,4570000
340,4580000
341,4590000
325,4600000
320,4610000
316,4620000
327,4630000
324,4640000
316,4650000
323,4660000
327,4670000
333,4680000
337,4690000
332,4700000
327,4710000
332,4720000
321,4730000
321,4740000
333,4750000
334,4760000
325,4770000
329,4780000
328,4790000
326,4800000
332,4810000
322,4820000
329,4830000
340,4840000
330,4850000
329,4860000
328,4870000
326,4880000
320,4890000
320,4900000
317,4910000
332,4920000
325,4930000
329,4940000
318,4950000
332,4960000
328,4970000
335,4980000
324,4990000
322,5000000
318,5010000
324,5020000
324,5030000
311,5040000
320,5050000
322,5060000
331,5070000
335,5080000
327,5090000
320,5100000
311,5110000
314,5120000
317,5130000
330,5140000
332,5150000
340,5160000
344,5170000
358,5180000
356,5190000
345,5200000
345,5210000
343,5220000
348,5230000
348,5240000
341,5250000
341,5260000
351,5270000
351,5280000
342,5290000
340,5300000
345,5310000
330,5320000
337,5330000
334,5340000
345,5350000
345,5360000
345,5370000
332,5380000
329,5390000
324,5400000
306,5410000
300,5420000
297,5430000
307,5440000
316,5450000
325,5460000
323,5470000
331,5480000
344,5490000
344,5500000
338,5510000
328,5520000
330,5530000
333,5540000
327,5550000
307,5560000
302,5570000
311,5580000
332,5590000
342,5600000
352,5610000
360,5620000
373,5630000
383,5640000
382,5650000
363,5660000
357,5670000
343,5680000
336,5690000
327,5700000
317,5710000
305,5720000
308,5730000
314,5740000
328,5750000
333,5760000
338,5770000
351,5780000
362,5790000
365,5800000
360,5810000
348,5820000
338,5830000
334,5840000
325,5850000
313,5860000
303,5870000
311,5880000
321,5890000
338,5900000
345,5910000
352,5920000
368,5930000
368,5940000
378,5950000
374,5960000
356,5970000
351,5980000
346,5990000
342,6000000
346,6010000
352,6020000
348,6030000
349,6040000
344,6050000
344,6060000
343,6070000
336,6080000
336,6090000
337,6100000
336,6110000
338,6120000
337,6130000
337,6140000
329,6150000
330,6160000
340,6170000
334,6180000
338,6190000
339,6200000
343,6210000
350,6220000
360,6230000
346,6240000
352,6250000
352,6260000
358,6270000
355,6280000
353,6290000
345,6300000
352,6310000
357,6320000
365,6330000
360,6340000
339,6350000
329,6360000
320,6370000
315,6380000
300,6390000
304,6400000
309,6410000
320,6420000
320,6430000
321,6440000
319,6450000
325,6460000
321,6470000
321,6480000
326,6490000
330,6500000
332,6510000
330,6520000
331,6530000
314,6540000
315,6550000
313,6560000
316,6570000
325,6580000
321,6590000
332,6600000
336,6610000
340,6620000
350,6630000
352,6640000
349,6650000
355,6660000
353,6670000
342,6680000
333,6690000
325,6700000
331,6710000
342,6720000
332,6730000
342,6740000
354,6750000
361,6760000
365,6770000
363,6780000
364,6790000
377,6800000
366,6810000
356,6820000
351,6830000
337,6840000
338,6850000
317,6860000
320,6870000
319,6880000
313,6890000
305,6900000
315,6910000
303,6920000
307,6930000
315,6940000
329,6950000
334,6960000
342,6970000
341,6980000
342,6990000
327,7000000
318,7010000
313,7020000
322,7030000
320,7040000
332,7050000
338,7060000
341,7070000
349,7080000
349,7090000
340,7100000
332,7110000
326,7120000
324,7130000
317,7140000
332,7150000
333,7160000
319,7170000
328,7180000
321,7190000
328,7200000
325,7210000
318,7220000
332,7230000
339,7240000
343,7250000
342,7260000
341,7270000
343,7280000
326,7290000
323,7300000
323,7310000
325,7320000
333,7330000
329,7340000
321,7350000
335,7360000
334,7370000
340,7380000
335,7390000
329,7400000
338,7410000
334,7420000
332,7430000
326,7440000
314,7450000
312,7460000
311,7470000
310,7480000
315,7490000
311,7500000
320,7510000
337,7520000
339,7530000
341,7540000
342,7550000
344,7560000
345,7570000
344,7580000
335,7590000
339,7600000
331,7610000
326,7620000
336,7630000
346,7640000
338,7650000
341,7660000
346,7670000
364,7680000
364,7690000
358,7700000
354,7710000
366,7720000
356,7730000
354,7740000
337,7750000
342,7760000
343,7770000
347,7780000
344,7790000
348,7800000
341,7810000
346,7820000
346,7830000
338,7840000
335,7850000
336,7860000
343,7870000
339,7880000
335,7890000
335,7900000
352,7910000
351,7920000
355,7930000
362,7940000
369,7950000
372,7960000
374,7970000
364,7980000
359,7990000
339,8000000
329,8010000
332,8020000
336,8030000
330,8040000
334,8050000
339,8060000
340,8070000
350,8080000
342,8090000
349,8100000
355,8110000
346,8120000
354,8130000
357,8140000
356,8150000
355,8160000
342,8170000
338,8180000
330,8190000
328,8200000
319,8210000
314,8220000
312,8230000
316,8240000
316,8250000
316,8260000
315,8270000
312,8280000
303,8290000
308,8300000
306,8310000
299,8320000
304,8330000
312,8340000
315,8350000
314,8360000
316,8370000
303,8380000
316,8390000
319,8400000
323,8410000
325,8420000
329,8430000
326,8440000
337,8450000
336,8460000
332,8470000
328,8480000
333,8490000
315,8500000
312,8510000
317,8520000
314,8530000
320,8540000
337,8550000
340,8560000
345,8570000
360,8580000
371,8590000
373,8600000
363,8610000
345,8620000
340,8630000
337,8640000
330,8650000
316,8660000
317,8670000
317,8680000
313,8690000
303,8700000
294,8710000
289,8720000
279,8730000
277,8740000
286,8750000
284,8760000
296,8770000
303,8780000
312,8790000
325,8800000
331,8810000
331,8820000
341,8830000
332,8840000
326,8850000
324,8860000
315,8870000
326,8880000
329,8890000
307,8900000
311,8910000
323,8920000
320,8930000
314,8940000
311,8950000
330,8960000
335,8970000
343,8980000
336,8990000
334,9000000
340,9010000
327,9020000
326,9030000
327,9040000
322,9050000
322,9060000
324,9070000
320,9080000
320,9090000
333,9100000
334,9110000
338,9120000
318,9130000
308,9140000
307,9150000
290,9160000
294,9170000
293,9180000
301,9190000
301,9200000
311,9210000
321,9220000
321,9230000
312,9240000
312,9250000
310,9260000
303,9270000
300,9280000
302,9290000
302,9300000
306,9310000
302,9320000
304,9330000
305,9340000
296,9350000
307,9360000
311,9370000
324,9380000
326,9390000
328,9400000
332,9410000
340,9420000
339,9430000
330,9440000
324,9450000
323,9460000
318,9470000
298,9480000
298,9490000
334,9500000
324,9510000
295,9520000
287,9530000
292,9540000
294,9550000
290,9560000
283,9570000
289,9580000
302,9590000
306,9600000
308,9610000
313,9620000
318,9630000
326,9640000
318,9650000
320,9660000
324,9670000
323,9680000
314,9690000
311,9700000
317,9710000
317,9720000
306,9730000
305,9740000
317,9750000
324,9760000
321,9770000
319,9780000
314,9790000
308,9800000
294,9810000
279,9820000
271,9830000
276,9840000
275,9850000
282,9860000
284,9870000
288,9880000
290,9890000
303,9900000
300,9910000
298,9920000
304,9930000
314,9940000
321,9950000
323,9960000
313,9970000
319,9980000
324,9990000
322,10000000
